Nom, Groupe, Régime
Camille Laurent, Mariés,
Alexandre Laurent, Mariés,
Isabelle Laurent, Famille mariée, Végétarienne
Jean-Pierre Laurent, Famille mariée,
Sophie Laurent, Famille mariée, Sans gluten
Thomas Laurent, Famille mariée,
Mamie Odette, Famille mariée, Sans sel
Hélène Moreau, Famille marié, Allergie fruits de mer
Bernard Moreau, Famille marié,
Nathalie Moreau, Famille marié, Végétalienne
Grégoire Moreau, Famille marié,
Lucie Petit, Amis mariée,
Maxime Petit, Amis mariée,
Chloé Girard, Amis mariée, Végétarienne
Antoine Girard, Amis mariée,
Manon Dubois, Amis mariée, Allergie arachides
Hugo Dubois, Amis mariée,
Léa Fontaine, Amis marié,
Nicolas Fontaine, Amis marié, Sans lactose
Emma Rousseau, Amis marié,
Julien Rousseau, Amis marié,
Sarah Mercier, Amis marié, Végétarienne
Paul Mercier, Amis marié,
Clara Bonnet, Collègues mariée,
Damien Bonnet, Collègues mariée, Sans gluten
Aurélie Lefèvre, Collègues mariée,
Vincent Lefèvre, Collègues mariée,
Marion Garnier, Collègues marié, Allergie fruits à coque
Sébastien Garnier, Collègues marié,
Pauline Faure, Collègues marié,
Romain Faure, Collègues marié, Végétarien
Élodie Chevalier, Voisins,
Fabrice Chevalier, Voisins, Diabétique
Sandrine Robin, Voisins,
Olivier Robin, Voisins,
Céline Blanc, Enfants d'honneur,
Théo Blanc, Enfants d'honneur, Allergie œuf
Jade Henry, Enfants d'honneur,
Nolan Henry, Enfants d'honneur,
Inès Roux, Plus un,
Gabriel Roux, Plus un, Végétalien
Louise Vidal, Plus un, Sans gluten
